"ID","Case Number","Date","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","District","Ward","Community Area","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location"
"28986","JJ531804","12/23/2025 02:09:00 AM","001XX N WELLS ST","0110","HOMICIDE","FIRST DEGREE MURDER","CTA ""L"" TRAIN","true","false","0122","001","42","32","01A","1174701","1901579","2025","01/12/2026 03:41:00 PM","41.885326396","-87.633919718","(41.885326396, -87.633919718)"
"28985","JJ528272","12/22/2025 04:28:00 PM","026XX W 23RD PL","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","1034","010","25","30","01A","1159221","1888303","2025","12/30/2025 03:41:58 PM","41.84922788","-87.691129694","(41.84922788, -87.691129694)"
"28984","JJ530412","12/21/2025 08:10:00 PM","038XX W WEST END AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","false","1122","011","28","26","01A","1150725","1900542","2025","01/24/2026 03:41:03 PM","41.882983235","-87.721991294","(41.882983235, -87.721991294)"
"29189","JJ530069","12/21/2025 03:15:00 PM","092XX S LUELLA AVE","0110","HOMICIDE","FIRST DEGREE MURDER","HOUSE","true","true","0413","004","7","48","01A","1192780","1844275","2025","06/15/2026 03:45:14 PM","41.727657475","-87.569402114","(41.727657475, -87.569402114)"
"28983","JJ528680","12/20/2025 09:05:00 AM","022XX E 103RD ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","0434","004","7","51","01A","1192874","1837123","2025","12/28/2025 03:46:39 PM","41.708029389","-87.569290282","(41.708029389, -87.569290282)"
"28982","JJ526178","12/18/2025 02:08:00 AM","065XX S TALMAN AVE","0110","HOMICIDE","FIRST DEGREE MURDER","APARTMENT","false","false","0831","008","16","66","01A","1159836","1861115","2025","12/26/2025 03:42:08 PM","41.774607973","-87.689619995","(41.774607973, -87.689619995)"
"28981","JJ525628","12/17/2025 03:55:00 PM","007XX S CARPENTER ST","0110","HOMICIDE","FIRST DEGREE MURDER","APARTMENT","true","false","1232","012","34","28","01A","1169468","1896836","2025","04/22/2026 03:41:10 PM","41.872426688","-87.653274109","(41.872426688, -87.653274109)"
"29061","JH149756","12/16/2025 05:29:00 PM","023XX W 66TH ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","0832","008","16","66","01A","1161787","1860828","2025","03/09/2026 03:51:51 PM","41.773780109","-87.682475867","(41.773780109, -87.682475867)"
"28980","JJ523572","12/15/2025 09:00:00 PM","130XX S CHAMPLAIN AVE","0110","HOMICIDE","FIRST DEGREE MURDER","HOUSE","false","false","0533","005","10","54","01A","1183231","1818690","2025","12/23/2025 03:42:08 PM","41.657676054","-87.605173516","(41.657676054, -87.605173516)"
"28979","JJ520796","12/13/2025 03:40:00 AM","007XX N LAWNDALE AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","false","1112","011","27","23","01A","1151585","1904742","2025","01/29/2026 03:42:14 PM","41.894491615","-87.718722846","(41.894491615, -87.718722846)"
"28978","JJ518406","12/11/2025 05:40:00 AM","051XX W DEMING PL","0110","HOMICIDE","FIRST DEGREE MURDER","APARTMENT","false","true","2521","025","31","19","01A","1141743","1916482","2025","01/13/2026 03:57:41 PM","41.926895251","-87.754579091","(41.926895251, -87.754579091)"
"28977","JJ518378","12/11/2025 04:30:00 AM","092XX S MERRILL AVE","0110","HOMICIDE","FIRST DEGREE MURDER","ALLEY","false","false","0413","004","7","48","01A","1192120","1844080","2025","12/19/2025 03:43:07 PM","41.727138424","-87.571826079","(41.727138424, -87.571826079)"
"28976","JJ515948","12/09/2025 12:51:00 AM","018XX S RIDGEWAY AVE","0110","HOMICIDE","FIRST DEGREE MURDER","ALLEY","false","false","1014","010","24","29","01A","1151663","1890655","2025","12/17/2025 03:42:27 PM","41.855833804","-87.718806798","(41.855833804, -87.718806798)"
"28975","JJ514795","12/08/2025 03:07:00 AM","096XX S AVENUE N","0110","HOMICIDE","FIRST DEGREE MURDER","APARTMENT","true","true","0432","004","10","52","01A","1201126","1841841","2025","12/16/2025 03:44:01 PM","41.720771071","-87.538912339","(41.720771071, -87.538912339)"
"28974","JJ512708","12/06/2025 12:20:00 AM","038XX W ADAMS ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","1122","011","28","26","01A","1150810","1898737","2025","12/14/2025 03:41:44 PM","41.878028456","-87.721726402","(41.878028456, -87.721726402)"
"28972","JJ507309","12/01/2025 06:23:00 AM","109XX S STATE ST","0110","HOMICIDE","FIRST DEGREE MURDER","PORCH","false","false","0513","005","9","49","01A","1178200","1832239","2025","12/09/2025 03:42:11 PM","41.694971728","-87.623174183","(41.694971728, -87.623174183)"
"28971","JJ507076","11/30/2025 08:03:00 PM","008XX S CLAREMONT AVE","0110","HOMICIDE","FIRST DEGREE MURDER","ALLEY","false","false","1225","012","28","28","01A","1160851","1896196","2025","12/08/2025 03:43:10 PM","41.870853451","-87.684928629","(41.870853451, -87.684928629)"
"28970","JJ506963","11/30/2025 05:28:00 PM","041XX S WABASH AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","0213","002","3","38","01A","1177404","1877523","2025","12/08/2025 03:43:10 PM","41.819254199","-87.624722906","(41.819254199, -87.624722906)"
"28973","JJ502593","11/28/2025 03:15:00 PM","077XX S CARPENTER ST","0110","HOMICIDE","FIRST DEGREE MURDER","HOUSE","false","true","0612","006","17","71","01A","1170655","1853505","2025","12/06/2025 03:41:51 PM","41.753496107","-87.650180812","(41.753496107, -87.650180812)"
"28969","JJ504503","11/28/2025 12:24:00 AM","051XX S LUNA AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","false","0814","008","23","56","01A","1140228","1870089","2025","02/22/2026 03:41:00 PM","41.799614449","-87.761282055","(41.799614449, -87.761282055)"
"28967","JJ503782","11/27/2025 03:05:00 AM","012XX W 111TH PL","0110","HOMICIDE","FIRST DEGREE MURDER","HOUSE","true","true","2234","022","21","75","01A","1170048","1830842","2025","04/06/2026 03:42:39 PM","41.691318699","-87.653061527","(41.691318699, -87.653061527)"
"28968","JJ502745","11/26/2025 06:32:00 AM","068XX S CALUMET AVE","0110","HOMICIDE","FIRST DEGREE MURDER","APARTMENT","true","true","0322","003","6","69","01A","1179659","1859729","2025","06/10/2026 03:41:39 PM","41.770374503","-87.616994694","(41.770374503, -87.616994694)"
"28966","JJ500111","11/23/2025 09:52:00 PM","012XX S INDEPENDENCE BLVD","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","1011","010","24","29","01A","1151445","1894282","2025","12/01/2025 03:42:34 PM","41.865790996","-87.719511791","(41.865790996, -87.719511791)"
"28965","JJ499338","11/23/2025 07:53:00 AM","002XX S WABASH AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","false","0113","001","34","32","01A","1176847","1899303","2025","12/01/2025 03:42:34 PM","41.87903266","-87.626108184","(41.87903266, -87.626108184)"
"29031","JJ448432","11/22/2025 10:09:00 AM","030XX W ARTHINGTON ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","1134","011","28","27","01A","1156310","1895884","2025","02/05/2026 03:40:58 PM","41.870090208","-87.701608713","(41.870090208, -87.701608713)"
"29120","D262438","11/22/2025 04:24:00 AM","004XX W 64TH ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","0722","007","20","68","01A","1174286","1862483","2025","04/29/2026 03:46:36 PM","41.778052905","-87.636608058","(41.778052905, -87.636608058)"
"28964","JJ498109","11/22/2025 02:11:00 AM","008XX N WALLER AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","1511","015","29","25","01A","1138208","1904983","2025","11/30/2025 03:43:03 PM","41.89540539","-87.767847446","(41.89540539, -87.767847446)"
"28962","JJ498040","11/22/2025 12:19:00 AM","000XX W 111TH ST","0110","HOMICIDE","FIRST DEGREE MURDER","GAS STATION","false","false","0513","005","9","49","01A","1178040","1831365","2025","11/30/2025 03:43:03 PM","41.692576964","-87.623786349","(41.692576964, -87.623786349)"
"28963","JJ498045","11/21/2025 10:59:00 PM","001XX S DEARBORN ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","0112","001","34","32","01A","1175959","1899607","2025","11/29/2025 03:42:11 PM","41.879886887","-87.629359567","(41.879886887, -87.629359567)"
"28961","JJ497610","11/21/2025 04:49:00 PM","006XX W DIVISION ST","0110","HOMICIDE","FIRST DEGREE MURDER","APARTMENT","false","false","1822","018","27","8","01A","1171555","1908243","2025","11/29/2025 03:42:11 PM","41.903682596","-87.645276055","(41.903682596, -87.645276055)"
"28960","JJ496890","11/21/2025 04:21:00 AM","045XX W FIFTH AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","false","1131","011","24","26","01A","1146311","1895563","2025","12/18/2025 03:41:16 PM","41.869405406","-87.738326608","(41.869405406, -87.738326608)"
"28957","JJ491049","11/16/2025 08:43:00 AM","001XX N ELIZABETH ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","1224","012","27","28","01A","1167913","1901457","2025","11/24/2025 03:41:59 PM","41.885140728","-87.658849841","(41.885140728, -87.658849841)"
"28956","JJ490283","11/15/2025 03:37:00 PM","092XX S LA SALLE ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","0634","006","9","49","01A","1176901","1843756","2025","11/23/2025 03:42:58 PM","41.726605262","-87.627584587","(41.726605262, -87.627584587)"
"28955","JJ490161","11/15/2025 11:50:00 AM","005XX N CENTRAL AVE","0110","HOMICIDE","FIRST DEGREE MURDER","ALLEY","false","false","1523","015","37","25","01A","1138938","1903072","2025","11/23/2025 03:42:58 PM","41.890148134","-87.765212765","(41.890148134, -87.765212765)"
"28954","JJ489740","11/15/2025 02:44:00 AM","015XX N HONORE ST","0110","HOMICIDE","FIRST DEGREE MURDER","ALLEY","true","false","1424","014","1","24","01A","1163780","1910430","2025","05/13/2026 03:52:41 PM","41.909851453","-87.673773564","(41.909851453, -87.673773564)"
"28953","JJ488379","11/14/2025 01:25:00 AM","076XX S SANGAMON ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","0621","006","17","71","01A","1171299","1854186","2025","11/22/2025 03:43:00 PM","41.755350802","-87.647800904","(41.755350802, -87.647800904)"
"28952","JJ487001","11/12/2025 07:44:00 PM","076XX S STONY ISLAND AVE","0110","HOMICIDE","FIRST DEGREE MURDER","PARKING LOT","true","false","0411","004","8","43","01A","1188243","1854803","2025","01/07/2026 03:43:04 PM","41.756656628","-87.585686572","(41.756656628, -87.585686572)"
"28951","JJ474883","11/11/2025 01:18:00 AM","030XX S TRUMBULL AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","1032","010","22","30","01A","1153851","1884130","2025","11/19/2025 03:43:46 PM","41.837885173","-87.710949285","(41.837885173, -87.710949285)"
"28947","JJ484853","11/11/2025 12:15:00 AM","005XX N CENTRAL AVE","0110","HOMICIDE","FIRST DEGREE MURDER","YARD","false","false","1523","015","37","25","01A","1138937","1903092","2025","11/19/2025 03:43:46 PM","41.890203035","-87.765215951","(41.890203035, -87.765215951)"
"28946","JJ482411","11/08/2025 06:39:00 PM","038XX W 26TH ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","false","1013","010","22","30","01A","1150978","1886444","2025","02/27/2026 03:40:48 PM","41.844291726","-87.721431241","(41.844291726, -87.721431241)"
"28945","JJ482411","11/08/2025 06:17:00 PM","038XX W 26TH ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","false","1013","010","22","30","01A","1150978","1886444","2025","02/27/2026 03:40:48 PM","41.844291726","-87.721431241","(41.844291726, -87.721431241)"
"28948","JJ439777","11/08/2025 08:51:00 AM","034XX W OGDEN AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","1024","010","24","29","01A","1153548","1890574","2025","11/16/2025 03:41:53 PM","41.855574302","-87.71189003","(41.855574302, -87.71189003)"
"28944","JJ481507","11/07/2025 10:42:00 PM","088XX S LOWE AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","2223","022","21","71","01A","1173520","1846227","2025","11/15/2025 03:41:24 PM","41.733461423","-87.639896583","(41.733461423, -87.639896583)"
"28943","JJ481493","11/07/2025 10:10:00 PM","009XX W 63RD PKWY","0110","HOMICIDE","FIRST DEGREE MURDER","AUTO","false","false","0712","007","16","68","01A","1171301","1863652","2025","11/15/2025 03:41:24 PM","41.781326622","-87.647516964","(41.781326622, -87.647516964)"
"28942","JJ479152","11/05/2025 11:36:00 PM","072XX S SANGAMON ST","0110","HOMICIDE","FIRST DEGREE MURDER","ALLEY","false","false","0733","007","17","68","01A","1171229","1856784","2025","11/13/2025 03:44:10 PM","41.762481575","-87.647981584","(41.762481575, -87.647981584)"
"28941","JJ478713","11/05/2025 05:29:00 PM","028XX N WOODARD ST","0110","HOMICIDE","FIRST DEGREE MURDER","HOUSE","true","true","1412","014","35","21","01A","1153422","1918925","2025","11/13/2025 03:44:10 PM","41.933374704","-87.711598439","(41.933374704, -87.711598439)"
"28940","JJ475994","11/04/2025 12:47:00 PM","020XX E 67TH ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","false","0331","003","5","42","01A","1190877","1860950","2025","03/17/2026 03:41:21 PM","41.773461272","-87.575835221","(41.773461272, -87.575835221)"
"28938","JJ475054","11/02/2025 07:50:00 PM","040XX S PULASKI RD","0110","HOMICIDE","FIRST DEGREE MURDER","RESTAURANT","false","false","0815","008","14","57","01A","1150354","1877136","2025","11/10/2025 03:44:45 PM","41.818761509","-87.723963543","(41.818761509, -87.723963543)"
"29113","JJ421957","11/02/2025 04:21:00 PM","023XX W 21ST PL","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","false","1234","012","25","31","01A","1161077","1889682","2025","04/13/2026 04:00:35 PM","41.852973709","-87.684279702","(41.852973709, -87.684279702)"
"28937","JJ472469","10/31/2025 04:48:00 PM","013XX W GRENSHAW ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","1231","012","28","28","01A","1167646","1895131","2025","11/08/2025 03:44:52 PM","41.867787447","-87.660012543","(41.867787447, -87.660012543)"
"28932","JJ467479","10/27/2025 05:27:00 PM","076XX S VINCENNES AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","false","0623","006","17","69","01A","1175515","1854490","2025","04/09/2026 04:04:45 PM","41.756091788","-87.632341337","(41.756091788, -87.632341337)"
"28931","JJ465813","10/26/2025 10:32:00 AM","110XX S MACKINAW AVE","0110","HOMICIDE","FIRST DEGREE MURDER","VACANT LOT","false","false","0433","004","10","52","01A","1200212","1832345","2025","11/03/2025 03:43:42 PM","41.694736322","-87.542579423","(41.694736322, -87.542579423)"
"28930","JJ464987","10/26/2025 03:54:00 AM","031XX S ST LOUIS AVE","0110","HOMICIDE","FIRST DEGREE MURDER","PARKING LOT","false","false","1032","010","22","30","01A","1153546","1883633","2025","11/03/2025 03:43:42 PM","41.836527402","-87.712081669","(41.836527402, -87.712081669)"
"28929","JJ464545","10/25/2025 06:02:00 AM","010XX N KOSTNER AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","1111","011","37","23","01A","1146856","1906381","2025","11/02/2025 03:42:29 PM","41.899080853","-87.736049322","(41.899080853, -87.736049322)"
"29074","JJ461580","10/22/2025 07:23:00 PM","066XX S SACRAMENTO AVE","0110","HOMICIDE","FIRST DEGREE MURDER","APARTMENT","false","false","0831","008","15","66","01A","1157524","1860521","2025","03/15/2026 03:47:15 PM","41.773025125","-87.698111564","(41.773025125, -87.698111564)"
"28928","JJ461283","10/22/2025 04:08:00 PM","049XX W ERIE ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","1532","015","37","25","01A","1143225","1903862","2025","10/30/2025 03:50:32 PM","41.892237019","-87.749448993","(41.892237019, -87.749448993)"
"28927","JJ460760","10/22/2025 08:15:00 AM","081XX S MARSHFIELD AVE","0110","HOMICIDE","FIRST DEGREE MURDER","APARTMENT","true","false","0614","006","17","71","01A","1166760","1850648","2025","05/19/2026 03:42:19 PM","41.74574008","-87.664535966","(41.74574008, -87.664535966)"
"28926","JJ460760","10/22/2025 08:15:00 AM","081XX S MARSHFIELD AVE","0110","HOMICIDE","FIRST DEGREE MURDER","APARTMENT","true","false","0614","006","17","71","01A","1166760","1850648","2025","05/19/2026 03:42:19 PM","41.74574008","-87.664535966","(41.74574008, -87.664535966)"
"28924","JJ460012","10/21/2025 03:38:00 PM","041XX W WEST END AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","1114","011","28","26","01A","1148724","1900651","2025","10/29/2025 03:44:51 PM","41.883321223","-87.729336303","(41.883321223, -87.729336303)"
"28923","JJ459173","10/20/2025 06:59:00 PM","021XX W 52ND PL","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","0932","009","16","61","01A","1163062","1869662","2025","10/28/2025 03:42:01 PM","41.797995188","-87.67755497","(41.797995188, -87.67755497)"
"28922","JJ455814","10/18/2025 01:03:00 AM","054XX S SHIELDS AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","true","0935","009","20","37","01A","1174877","1868941","2025","10/26/2025 03:54:36 PM","41.795761181","-87.634248942","(41.795761181, -87.634248942)"
"28921","JJ455712","10/17/2025 10:56:00 PM","028XX N LEAVITT ST","0110","HOMICIDE","FIRST DEGREE MURDER","APARTMENT","true","false","1931","019","32","5","01A","1161638","1918807","2025","10/25/2025 03:43:27 PM","41.93288344","-87.68140843","(41.93288344, -87.68140843)"
"28920","JJ455562","10/17/2025 07:20:00 PM","031XX S PRINCETON AVE","0110","HOMICIDE","FIRST DEGREE MURDER","AUTO","true","true","0915","009","11","34","01A","1174795","1884240","2025","03/25/2026 03:55:08 PM","41.837744867","-87.634093111","(41.837744867, -87.634093111)"
"28919","JJ455198","10/17/2025 03:28:00 PM","015XX S HOMAN AVE","0110","HOMICIDE","FIRST DEGREE MURDER","YARD","false","false","1021","010","24","29","01A","1153948","1892323","2025","10/25/2025 03:43:27 PM","41.860365804","-87.710375253","(41.860365804, -87.710375253)"
"28918","JJ454465","10/16/2025 11:06:00 PM","088XX S MARQUETTE AVE","0110","HOMICIDE","FIRST DEGREE MURDER","YARD","false","false","0423","004","7","46","01A","1195790","1846928","2025","10/24/2025 03:42:34 PM","41.7348637","-87.558288701","(41.7348637, -87.558288701)"
"28917","JJ451965","10/14/2025 11:48:00 PM","000XX W 44TH ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","0215","002","3","38","01A","1176921","1875852","2025","10/22/2025 03:42:01 PM","41.814679746","-87.626545144","(41.814679746, -87.626545144)"
"28916","JJ450287","10/13/2025 05:15:00 PM","003XX W ROOT ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","0925","009","3","37","01A","1174762","1877437","2025","10/21/2025 03:46:26 PM","41.819077587","-87.63441729","(41.819077587, -87.63441729)"
"28915","JJ448559","10/12/2025 02:53:00 AM","064XX S FAIRFIELD AVE","0110","HOMICIDE","FIRST DEGREE MURDER","YARD","true","false","0825","008","16","66","01A","1159153","1861766","2025","10/20/2025 03:43:24 PM","41.776408412","-87.692105986","(41.776408412, -87.692105986)"
"28914","JJ448302","10/11/2025 08:08:00 PM","059XX S NORMANDY AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","0811","008","13","64","01A","1132746","1864563","2025","10/19/2025 03:42:33 PM","41.784583451","-87.788849508","(41.784583451, -87.788849508)"
"28913","JJ446884","10/10/2025 02:29:00 PM","097XX S PRINCETON AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","0511","005","9","49","01A","1176003","1840389","2025","10/18/2025 03:42:09 PM","41.717385916","-87.630974666","(41.717385916, -87.630974666)"
"28912","JJ443971","10/08/2025 03:05:00 AM","060XX S PRAIRIE AVE","0110","HOMICIDE","FIRST DEGREE MURDER","PARKING LOT","false","false","0311","003","20","40","01A","1179076","1864996","2025","10/16/2025 03:42:34 PM","41.784840989","-87.618971338","(41.784840989, -87.618971338)"
"28911","JJ443625","10/07/2025 07:10:00 PM","010XX W 31ST ST","0110","HOMICIDE","FIRST DEGREE MURDER","APARTMENT","false","false","0913","009","11","60","01A","1169996","1884285","2025","10/15/2025 03:55:37 PM","41.837974206","-87.651701404","(41.837974206, -87.651701404)"
"28910","JJ442189","10/06/2025 05:19:00 PM","016XX W 79TH ST","0110","HOMICIDE","FIRST DEGREE MURDER","PARKING LOT","true","false","0611","006","17","71","01A","1166608","1852321","2025","02/13/2026 03:42:59 PM","41.75033427","-87.665045312","(41.75033427, -87.665045312)"
"28909","JJ442109","10/06/2025 05:15:00 PM","000XX N KILBOURN AVE","0110","HOMICIDE","FIRST DEGREE MURDER","GAS STATION","true","false","1113","011","28","26","01A","1146387","1899777","2025","11/16/2025 03:41:06 PM","41.88096768","-87.737940272","(41.88096768, -87.737940272)"
"28908","JJ441599","10/06/2025 09:17:00 AM","056XX W WASHINGTON BLVD","0110","HOMICIDE","FIRST DEGREE MURDER","APARTMENT","true","true","1513","015","29","25","01A","1138415","1900175","2025","06/09/2026 04:08:21 PM","41.88220788","-87.767203679","(41.88220788, -87.767203679)"
"28907","JJ441303","10/06/2025 03:36:00 AM","026XX W 39TH PL","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","false","0921","009","12","58","01A","1159522","1878370","2025","04/22/2026 03:41:10 PM","41.821964415","-87.690297894","(41.821964415, -87.690297894)"
"28906","JJ439875","10/04/2025 08:35:00 PM","038XX W ROOSEVELT RD","0110","HOMICIDE","FIRST DEGREE MURDER","PARKING LOT","false","false","1011","010","24","29","01A","1151170","1894442","2025","10/12/2025 03:43:35 PM","41.866235446","-87.720517147","(41.866235446, -87.720517147)"
"28905","JJ439436","10/04/2025 02:38:00 PM","001XX S PULASKI RD","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","1115","011","28","26","01A","1149755","1898904","2025","10/12/2025 03:43:35 PM","41.878507287","-87.7255958","(41.878507287, -87.7255958)"
"28903","JJ438632","10/03/2025 08:32:00 PM","009XX W 85TH ST","0110","HOMICIDE","FIRST DEGREE MURDER","APARTMENT","false","false","0613","006","17","71","01A","1171688","1848473","2025","10/11/2025 03:44:01 PM","41.739665062","-87.646542433","(41.739665062, -87.646542433)"
"28904","JJ438632","10/03/2025 08:06:00 PM","009XX W 85TH ST","0110","HOMICIDE","FIRST DEGREE MURDER","APARTMENT","false","false","0613","006","17","71","01A","1171688","1848473","2025","10/11/2025 03:44:01 PM","41.739665062","-87.646542433","(41.739665062, -87.646542433)"
"28902","JJ438338","10/03/2025 04:13:00 PM","054XX S WELLS ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","false","0935","009","20","37","01A","1175530","1868925","2025","03/25/2026 03:55:08 PM","41.795702678","-87.631854853","(41.795702678, -87.631854853)"
"28901","JJ438253","10/03/2025 03:31:00 PM","026XX W CERMAK RD","0110","HOMICIDE","FIRST DEGREE MURDER","PARKING LOT","false","false","1034","010","25","30","01A","1159207","1889299","2025","10/11/2025 03:44:01 PM","41.851961298","-87.691153739","(41.851961298, -87.691153739)"
"28900","JJ437609","10/03/2025 03:00:00 AM","066XX S NORMAL BLVD","0110","HOMICIDE","FIRST DEGREE MURDER","HOUSE","false","true","0722","007","6","68","01A","1174235","1860977","2025","10/11/2025 03:44:01 PM","41.773921405","-87.63683974","(41.773921405, -87.63683974)"
"28899","JJ436459","10/02/2025 08:06:00 AM","100XX S AVENUE N","0110","HOMICIDE","FIRST DEGREE MURDER","PORCH","false","false","0432","004","10","52","01A","1201156","1838984","2025","10/10/2025 03:42:51 PM","41.712930476","-87.538899017","(41.712930476, -87.538899017)"
"28936","JJ385519","09/30/2025 10:46:00 PM","000XX W 69TH ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","0731","007","6","69","01A","1177185","1859273","2025","11/01/2025 03:41:48 PM","41.769179375","-87.626077063","(41.769179375, -87.626077063)"
"28898","JJ433993","09/30/2025 11:43:00 AM","029XX W HARRISON ST","0110","HOMICIDE","FIRST DEGREE MURDER","CHA PARKING LOT","false","false","1135","011","27","27","01A","1156930","1897228","2025","10/08/2025 03:48:59 PM","41.873765737","-87.699296047","(41.873765737, -87.699296047)"
"28897","JJ432992","09/29/2025 05:46:00 PM","025XX E 78TH ST","0110","HOMICIDE","FIRST DEGREE MURDER","ALLEY","true","false","0421","004","7","43","01A","1194343","1853737","2025","06/19/2026 03:42:44 PM","41.753583795","-87.563366582","(41.753583795, -87.563366582)"
